,2018-07-26,2018-07-27,2018-07-28,2018-07-29,
"dar smira",0,0,0,0,
darf01,0,0,0,0,
darlene,0,0,0,0,
"darnitza 1",0,0,0,0,
dash,0,0,0,0,
data1asia,0,0,0,0,
databank,0,0,0,0,
databk,0,0,0,0,
datacom,0,0,0,0,
datalsat,0,0,0,0,
dateasiaph,0,0,0,0,
dateinasia,0,0,0,0,
datelcom,0,0,0,0,
datelsat,0,0,0,0,
daum,0,0,0,0,
davaolight,0,0,0,0,
dave,0,0,0,0,
david,0,0,0,0,
davidsalon,0,0,0,0,
davidswmne,0,0,0,0,
davidswmstm,0,0,0,0,
dayre,0,0,0,0,
daytime,0,0,0,0,
"db schenker",0,0,0,0,
dbalcony,0,0,0,0,
dbalrt,0,0,0,0,
dbp,0,0,0,0,
dbpi,0,0,0,0,
dbreak,0,0,0,0,
"dbs bank",0,0,0,0,
"dbs cards",0,0,0,0,
dbs-manila,0,0,0,0,
dbs.manila,0,0,0,0,
dbs_bank,0,0,0,0,
dbsbank,0,0,0,0,
dbsbnk,0,0,0,0,
dbsbnk-in,0,0,0,0,
dbsvonline,0,0,0,0,
dbsymphony,0,0,0,0,
dbtccebu,0,0,0,0,
dc,0,0,0,0,
dc-admin,0,0,0,0,
dc-pnp,0,0,0,0,
dcd,0,0,0,0,
dcfc,0,0,0,0,
dcmifv,0,0,0,0,
dcs,0,0,0,0,
dcslimming,0,0,0,0,
dctech,0,0,0,0,
dd_feedback,0,0,0,0,
dd_promo,0,0,0,0,
"ddd ssd",0,0,0,0,
ddiary,0,0,0,0,
ddphbkalert,0,0,0,0,
dealday,0,0,0,0,
dealdozen,0,0,0,0,
dealerlogin,0,0,0,0,
deallog,0,0,0,0,
dealmonth,0,0,0,0,
dealoka,0,0,0,0,
deals101,0,0,0,0,
dealsbook,0,0,0,0,
dealweek,0,0,0,0,
dealyear,0,0,0,0,
deardiet,0,0,0,0,
dece,0,0,0,0,
decima,0,0,0,0,
deepe,0,0,0,0,
deezer,0,0,0,0,
"defy cup",0,0,0,0,
deicb,0,0,0,0,
dejawoof,0,0,0,0,
dekada,0,0,0,0,
dekalb,0,0,0,0,
dekalblink,0,0,0,0,
dekpota,0,0,0,0,
delalamin,0,0,0,0,
delhatulan,0,0,0,0,
delhiroyale,0,0,0,0,
deliciousdt,0,0,0,0,
deliverclub,0,0,0,0,
deliveree,0,0,0,0,
delivery,0,0,0,0,
"delivery club",0,0,0,0,
deliveryguy,0,0,0,0,
delsey,0,0,0,0,
deltaairph,0,0,0,0,
demirbank,0,0,0,0,
demo,0,0,0,0,
demoaw,0,0,0,0,
demosms,0,0,0,0,
demowavcell,0,0,0,0,
dena,0,0,0,0,
denabk,0,0,0,0,
dencios,0,0,0,0,
denizbank,0,0,0,0,
dennys,0,0,0,0,
dennyâs,0,0,0,0,
denr,0,0,0,0,
"denr - car",0,0,0,0,
"denr - ncr",0,0,0,0,
"denr - r1",0,0,0,0,
"denr - r10",0,0,0,0,
"denr - r11",0,0,0,0,
"denr - r12",0,0,0,0,
"denr - r13",0,0,0,0,
"denr - r2",0,0,0,0,
"denr - r3",0,0,0,0,
"denr - r4a",0,0,0,0,
"denr - r4b",0,0,0,0,
"denr - r5",0,0,0,0,
"denr - r6",0,0,0,0,
"denr - r7",0,0,0,0,
"denr - r8",0,0,0,0,
"denr - r9",0,0,0,0,
denr-lmb,0,0,0,0,
denr-r0ss,0,0,0,0,
denr-r8oss,0,0,0,0,
dentsuph,0,0,0,0,
departmento,0,0,0,0,
deped,0,0,0,0,
depedmdque,0,0,0,0,
depednat,0,0,0,0,
depedquezon,0,0,0,0,
depedro12,0,0,0,0,
dermadent,0,0,0,0,
dermasia,0,0,0,0,
dermclinic,0,0,0,0,
dermedical,0,0,0,0,
dermhq,0,0,0,0,
dermpharma,0,0,0,0,
dermsuite,0,0,0,0,
desertops,0,0,0,0,
designwkph,0,0,0,0,
detalle,0,0,0,0,
detivo,0,0,0,0,
"deut bank",0,0,0,0,
deuts.bank,0,0,0,0,
devant,0,0,0,0,
devise,0,0,0,0,
devitalia,0,0,0,0,
devsmx,0,0,0,0,
devtac,0,0,0,0,
dewacasino,0,0,0,0,
dewavegas,0,0,0,0,
dex_qua,0,0,0,0,
dexqua,0,0,0,0,
dexter,0,0,0,0,
"dexter tan",0,0,0,0,
dfp-text,0,0,0,0,
dfsi,0,0,0,0,
dfsiglobal,0,0,0,0,
dfsiph,0,0,0,0,
dg,0,0,0,0,
"dg budget h",0,0,0,0,
dget,0,0,0,0,
dgitalcoins,0,0,0,0,
dhanbk,0,0,0,0,
dhayday,0,0,0,0,
dhl,0,0,0,0,
"dhl express",0,0,0,0,
dhlexp,0,0,0,0,
diabetasol,0,0,0,0,
diabeticdt,0,0,0,0,
dialogue,0,0,0,0,
dials,0,0,0,0,
diamond,0,0,0,0,
dibz,0,0,0,0,
dibzparking,0,0,0,0,
dice205,0,0,0,0,
dictao,0,0,0,0,
didi,0,0,0,0,
"dielco inc",0,0,0,0,
digdata,0,0,0,0,
digibayani,0,0,0,0,
digibayanihan,0,0,0,0,
digibiyani,0,0,0,0,
digicon,0,0,0,0,
"digicon cdm",0,0,0,0,
digicon2017,0,0,0,0,
digima,0,0,0,0,
digipay,0,0,0,0,
digital,0,0,0,0,
digitalams,0,0,0,0,
digitalfcb,0,0,0,0,
digitalhub,0,0,0,0,
digitallb,0,0,0,0,
digitalmktg,0,0,0,0,
digitalmoz,0,0,0,0,
digitaltolk,0,0,0,0,
digitalwalk,0,0,0,0,
dilg,0,0,0,0,
dillingers1,0,0,0,0,
dimagi,0,0,0,0,
dimarks,0,0,0,0,
diners_club,0,0,0,0,
dinersph,0,0,0,0,
ding,0,0,0,0,
dinghow,0,0,0,0,
dington,0,0,0,0,
dingtone,0,0,0,0,
dining,0,0,0,0,
dinopogi,0,0,0,0,
diplomazee,0,0,0,0,
dipologcity,0,0,0,0,
dir,0,0,0,0,
directlink,0,0,0,0,
directo,0,0,0,0,
directway,0,0,0,0,
dirtweekend,0,0,0,0,
"dirty app",0,0,0,0,
discaller,0,0,0,0,
distree,0,0,0,0,
districtbar,0,0,0,0,
dite,0,0,0,0,
dittotv,0,0,0,0,
diwatravel,0,0,0,0,
"dj ong",0,0,0,0,
djebbour,0,0,0,0,
djhcek,0,0,0,0,
djs.dk,0,0,0,0,
dl,0,0,0,0,
"dl ph",0,0,0,0,
dl-ph,0,0,0,0,
"dlc iloilo",0,0,0,0,
dlciloilo,0,0,0,0,
dlpc,0,0,0,0,
dlsmc,0,0,0,0,
"dlsmc cares",0,0,0,0,
"dlsmc med",0,0,0,0,
dlsmc_cares,0,0,0,0,
dlsmc_cc,0,0,0,0,
dlsmc_hr,0,0,0,0,
dlsmc_it,0,0,0,0,
dlsudapp,0,0,0,0,
dlsudstore,0,0,0,0,
dlsumc,0,0,0,0,
dlsz,0,0,0,0,
dmarkspizza,0,0,0,0,
dmc,0,0,0,0,
dmci,0,0,0,0,
"dmci homes",0,0,0,0,
dmcibilling,0,0,0,0,
dmcicc,0,0,0,0,
dmcici,0,0,0,0,
dmcifinance,0,0,0,0,
dmcihomes,0,0,0,0,
dmcihrd,0,0,0,0,
dmcinews,0,0,0,0,
dmcirem,0,0,0,0,
dmcitreas,0,0,0,0,
dmk,0,0,0,0,
dmns_glass,0,0,0,0,
dms,0,0,0,0,
dms.billing,0,0,0,0,
dms.invoice,0,0,0,0,
dmsph,0,0,0,0,
dmzarchery,0,0,0,0,
"dnao admin",0,0,0,0,
dnata,0,0,0,0,
"dnata c&bd",0,0,0,0,
"dnata cargo",0,0,0,0,
"dnata cs",0,0,0,0,
"dnata ops",0,0,0,0,
"dnata travel",0,0,0,0,
dnatatravel,0,0,0,0,
dnc,0,0,0,0,
dnomadsph,0,0,0,0,
docquity,0,0,0,0,
doctorcash,0,0,0,0,
doehle,0,0,0,0,
dof,0,0,0,0,
doh,0,0,0,0,
"doh wi-fi",0,0,0,0,
dohabank,0,0,0,0,
"doi jao",0,0,0,0,
doktortkvm,0,0,0,0,
dokument24,0,0,0,0,
dolcelatte,0,0,0,0,
"dole oshc",0,0,0,0,
dole12,0,0,0,0,
dolexii,0,0,0,0,
doma,0,0,0,0,
domain,0,0,0,0,
domino'spiz,0,0,0,0,
dominospiz,0,0,0,0,
don,0,0,0,0,
don_vega,0,0,0,0,
dondy,0,0,0,0,
donners,0,0,0,0,
donorcare,0,0,0,0,
donotreply,0,0,0,0,
dontalk,0,0,0,0,
doodles,0,0,0,0,
doquity,0,0,0,0,
doraydtavel,0,0,0,0,
doruknet,0,0,0,0,
dost,0,0,0,0,
"dost tapi",0,0,0,0,
dost-ndvs,0,0,0,0,
dostro5,0,0,0,0,
dot.uni.ph,0,0,0,0,
dott,0,0,0,0,
dotwahro,0,0,0,0,
dove,0,0,0,0,
downnotify,0,0,0,0,
downtoearth,0,0,0,0,
downtown,0,0,0,0,
downy,0,0,0,0,
doxcheck,0,0,0,0,
doxpro,0,0,0,0,
dpwh,0,0,0,0,
dqq,0,0,0,0,
dquity,0,0,0,0,
"dr. martens",0,0,0,0,
draft,0,0,0,0,
draftgastro,0,0,0,0,
dragonair,0,0,0,0,
dragonfruit,0,0,0,0,
dragonpay,0,0,0,0,
draugiem.lv,0,0,0,0,
dreamcrs,0,0,0,0,
dreamcruise,0,0,0,0,
dreamflight,0,0,0,0,
dreamworld,0,0,0,0,
driftspa,0,0,0,0,
drivearn,0,0,0,0,
driven,0,0,0,0,
"driven info",0,0,0,0,
driven-mktg,0,0,0,0,
drivenpromo,0,0,0,0,
drkakispa,0,0,0,0,
drmartens,0,0,0,0,
drmcruises,0,0,0,0,
dropbox,0,0,0,0,
dropboxph,0,0,0,0,
dropped.pl,0,0,0,0,
drpjgmrmc,0,0,0,0,
drumstick,0,0,0,0,
dsas,0,0,0,0,
dsas2015,0,0,0,0,
dsiddehs,0,0,0,0,
dsideop,0,0,0,0,
dspblk,0,0,0,0,
dss_manila,0,0,0,0,
dsv,0,0,0,0,
dswd,0,0,0,0,
dswindows,0,0,0,0,
dtalent,0,0,0,0,
"dtc mobile",0,0,0,0,
dtc_mobile,0,0,0,0,
dtcc,0,0,0,0,
dtcmobile,0,0,0,0,
"dti - otp",0,0,0,0,
dtro,0,0,0,0,
dtsi,0,0,0,0,
dtw,0,0,0,0,
"dualtech it",0,0,0,0,
dukascopy,0,0,0,0,
dukes,0,0,0,0,
dulce,0,0,0,0,
dulcelin,0,0,0,0,
dulo,0,0,0,0,
duo,0,0,0,0,
"duo mobile",0,0,0,0,
dupont,0,0,0,0,
dusitthani,0,0,0,0,
"duty free",0,0,0,0,
dutyfree,0,0,0,0,
dutyfreeph,0,0,0,0,
duwo,0,0,0,0,
dvhlda,0,0,0,0,
dwcv,0,0,0,0,
dweetgastro,0,0,0,0,
dwong,0,0,0,0,
dwvxp,0,0,0,0,
dwznoe,0,0,0,0,
dx,0,0,0,0,
dxn,0,0,0,0,
"dxn phils",0,0,0,0,
dxncr,0,0,0,0,
dxnphils,0,0,0,0,
dynamiclink,0,0,0,0,
dynamite,0,0,0,0,
dynapharm,0,0,0,0,
dywong,0,0,0,0,
dywoo,0,0,0,0,
dzmarchery,0,0,0,0,
dzrh,0,0,0,0,
"dzrp alert",0,0,0,0,
"e ccpadala",0,0,0,0,
"e sms",0,0,0,0,
"e-cc padala",0,0,0,0,
e-ccpadala,0,0,0,0,
e-home,0,0,0,0,
e-mbm,0,0,0,0,
e-methods,0,0,0,0,
e-num,0,0,0,0,
e-pda,0,0,0,0,
e-peso,0,0,0,0,
e-system,0,0,0,0,
e-travelph,0,0,0,0,
e-xchangeph,0,0,0,0,
e._seton,0,0,0,0,
e.n.s,0,0,0,0,
e4f,0,0,0,0,
e_banking,0,0,0,0,
e_ccpadala,0,0,0,0,
e_seton,0,0,0,0,
eaa,0,0,0,0,
"eaas patras",0,0,0,0,
eacsi,0,0,0,0,
eaglecement,0,0,0,0,
eaglecreek,0,0,0,0,
eaglepoint,0,0,0,0,
eaglewatch,0,0,0,0,
"earl bagay",0,0,0,0,
earljon,0,0,0,0,
earlybirdbc,0,0,0,0,
earthkitche,0,0,0,0,
easimed,0,0,0,0,
eastern,0,0,0,0,
eaststreet,0,0,0,0,
eastwest,0,0,0,0,
easy,0,0,0,0,
"easy debit",0,0,0,0,
easy_taxi,0,0,0,0,
easybuy,0,0,0,0,
easycash,0,0,0,0,
easydebit,0,0,0,0,
easyforex,0,0,0,0,
easymarkets,0,0,0,0,
easyrock,0,0,0,0,
easyshop,0,0,0,0,
easyshop.ph,0,0,0,0,
easystore,0,0,0,0,
easytaxi,0,0,0,0,
easytrip,0,0,0,0,
eat,0,0,0,0,
eatcafe,0,0,0,0,
eatigo,0,2333,1500,0,
eatnow,0,0,0,0,
eatup,0,0,0,0,
eb,0,0,0,0,
"eb marquez",0,0,0,0,
"eb paradise",0,0,0,0,
"eb vip",0,0,0,0,
ebank,0,0,0,0,
ebay,0,0,0,0,
ebayph,0,0,0,0,
ebeneezers,0,0,0,0,
ebr,0,0,0,0,
ebs,0,0,0,0,
"eca phils",0,0,0,0,
ecabs,0,0,0,0,
ecash,0,0,0,0,
ecashme,0,0,0,0,
eccat,0,0,0,0,
eccpadala,0,0,0,0,
echocafesus,0,0,0,0,
echomarkets,0,0,0,0,
echostoresu,0,0,0,0,
eci,0,0,0,0,
eclipse,0,0,0,0,
"eclipse res",0,0,0,0,
ecloudtech,0,0,0,0,
ecobank,0,0,0,0,
ecocar,0,0,0,0,
ecomparemo,0,0,0,0,
ecoverde,0,0,0,0,
ecpay,0,0,0,0,
ecrentacar,0,0,0,0,
ecrunailspa,0,0,0,0,
ecs,0,0,0,0,
ecster,0,0,0,0,
ectk,0,0,0,0,
eda.idm,0,0,0,0,
eddiebauer,0,0,0,0,
eden,0,0,0,0,
edge412,0,0,0,0,
edgie,0,0,0,0,
edmennorply,0,0,0,0,
edmondtvi,0,0,0,0,
edreams,0,0,0,0,
"edsa shang",0,0,0,0,
edsitjar,0,0,0,0,
edu4ever,0,0,0,0,
eduid,0,0,0,0,
eduind,0,0,0,0,
edupri,0,0,0,0,
edupro,0,0,0,0,
edwin,0,0,0,0,
efcafe,0,0,0,0,
efe.ph,0,0,0,0,
efe.ph?,0,0,0,0,
efe.phâ,0,0,0,0,
efi,0,0,0,0,
efun,0,0,0,0,
"eg it",0,0,0,0,
egames,0,0,0,0,
egcbpartner,0,0,0,0,
egcdistrib,0,0,0,0,
egentic,0,0,0,0,
eggrts,0,0,0,0,
egiftcard,0,0,0,0,
egivecash,0,0,0,0,
ehaj,0,0,0,0,
ehr-softrnd,0,0,0,0,
eialrt,0,0,0,0,
eica,0,0,0,0,
eis,0,0,0,0,
"ej express",0,0,0,0,
"ek clinic",0,0,0,0,
"ek dena",0,0,0,0,
"ek eap",0,0,0,0,
"ek mcc",0,0,0,0,
"ek mmc",0,0,0,0,
"ek skycargo",0,0,0,0,
"ek-dnata hr",0,0,0,0,
ekas,0,0,0,0,
"ekas pmu",0,0,0,0,
ekchauffeur,0,0,0,0,
ekdnataidam,0,0,0,0,
eklinik,0,0,0,0,
eksms,0,0,0,0,
"el lobo.",0,0,0,0,
elaine,0,0,0,0,
elanvital,0,0,0,0,
elastoseal,0,0,0,0,
elcenter,0,0,0,0,
elchupacabr,0,0,0,0,
elcielito,0,0,0,0,
elcorazon,0,0,0,0,
electionsys,0,0,0,0,
electroneum,0,0,0,0,
electrowrld,0,0,0,0,
eleet,0,0,0,0,
elescaler,0,0,0,0,
elheneral,0,0,0,0,
elia,0,0,0,0,
elias,0,0,0,0,
eliganor,0,0,0,0,
eliteall,0,0,0,0,
eliteglobal,0,0,0,0,
elitewallet,0,0,0,0,
ellesse,0,0,0,0,
ellobo,0,0,0,0,
elma,0,0,0,0,
elo.ph,0,0,0,0,
elordeboxin,0,0,0,0,
elordesthbx,0,0,0,0,
"els support",0,0,0,0,
elses??t,0,0,0,0,
eltenedor,0,0,0,0,
elysehealth,0,0,0,0,
email,0,0,0,0,
emalsys,0,0,0,0,
emapta,0,0,0,0,
embassy,0,0,0,0,
emerch,0,0,0,0,
emergelocal,0,0,0,0,
emergency,0,0,0,0,
emerson,0,0,0,0,
emily,0,0,0,0,
emirates,0,0,0,0,
emmalizs,0,0,0,0,
emojis,0,0,0,0,
emondsoft,0,0,0,0,
"empire east",0,0,0,0,
empire_east,0,0,0,0,
empirefcafe,0,0,0,0,
empiregolfa,0,0,0,0,
empiresalon,0,0,0,0,
emporia,0,0,0,0,
emporiaplus,0,0,0,0,
empower,0,0,0,0,
emq,0,0,0,0,
emreach,0,0,0,0,
ems,0,0,0,0,
emz,0,0,0,0,
"en bldg p2",0,0,0,0,
"en campus",0,0,0,0,
"en missions",0,0,0,0,
enablesms,0,0,0,0,
enakkl,0,0,0,0,
enbarbers,0,0,0,0,
"enc makati",0,0,0,0,
"enchanted k",0,0,0,0,
endpoint,0,0,0,0,
enec,0,0,0,0,
enerjisepet,0,0,0,0,
enforta,0,0,0,0,
enfral,0,0,0,0,
engage,0,0,0,0,
engagedev,0,0,0,0,
engagespark,0,0,0,0,
eniyihekim,0,0,0,0,
enjoy,0,0,0,0,
enjoyphil,0,0,0,0,
enjoywifi.c,0,0,0,0,
enlo,0,0,0,0,
enoch,0,0,0,0,
"enph staff",0,0,0,0,
enrcc,0,0,0,0,
ensogo,0,0,0,0,
entasisgym,0,0,0,0,
enterprise,0,0,0,0,
entrepbank,0,0,0,0,
enz,0,0,0,0,
"enz laoag",0,0,0,0,
enzo,0,0,0,0,
eobot,0,0,0,0,
eon,0,0,0,0,
eongold,0,0,0,0,
epayments,0,0,0,0,
epayroll,0,0,0,0,
epayservice,0,0,0,0,
epayvenue,0,0,0,0,
epeso,0,0,0,0,
eph_bdm,0,0,0,0,
eph_secure,0,0,0,0,
epicurious,0,0,0,0,
epicuriousj,0,0,0,0,
epicurousj,0,0,0,0,
epinoy,0,0,0,0,
epinoyload,0,0,0,0,
eplatform,0,0,0,0,
epmpc,0,0,0,0,
epny,0,0,0,0,
epoxy,0,0,0,0,
epvia,0,0,0,0,
eqb,0,0,0,0,
eqpmntworld,0,0,0,0,
eqpttrader,0,0,0,0,
eqqui,0,0,0,0,
equakeph,0,0,0,0,
equicom,0,0,0,0,
equicombank,0,0,0,0,
equinewell,0,0,0,0,
equipment,0,0,0,0,
"er foods",0,0,0,0,
er_foods,0,0,0,0,
erc,0,0,0,0,
ergo,0,0,0,0,
erhcatering,0,0,0,0,
eric_lindo,0,0,0,0,
erichtravel,0,0,0,0,
"ericka joy",0,0,0,0,
erickson,0,0,0,0,
ericsson,0,0,0,0,
ericssonceo,0,0,0,0,
erim,0,0,0,0,
erimbc,0,0,0,0,
erimexpress,0,0,0,0,
erptax,0,0,0,0,
errx_jess,0,0,0,0,
ers,0,0,0,0,
erwan,0,0,0,0,
es,0,0,0,0,
escrow.wm,0,0,0,0,
escudo371,0,0,0,0,
esdev,0,0,0,0,
"eset ph",0,0,0,0,
eship,0,0,0,0,
eshipglobal,0,0,0,0,
espada,0,0,0,0,
espressamen,0,0,0,0,
espressobar,0,0,0,0,
espresspay,0,0,0,0,
esquinita,0,0,0,0,
esquire,0,0,0,0,
ess,0,0,0,0,
essayshark,0,0,0,0,
essensualst,0,0,0,0,
essenxa,0,0,0,0,
estancia,0,0,0,0,
estatewater,0,0,0,0,
estos,0,0,0,0,
etam,0,0,0,0,
ethan,0,0,0,0,
"ethan allen",0,0,0,0,
ethan_allen,0,0,0,0,
ethanallen,0,0,0,0,
ethiopian,0,0,0,0,
ethix,0,0,0,0,
ethtrade,0,0,0,0,
etihad,0,0,0,0,
"etihad air",0,0,0,0,
etihadair,0,0,0,0,
etisil,0,0,0,0,
etobee,0,0,0,0,
etone,0,0,0,0,
etop,0,0,0,0,
etracker,0,0,0,0,
"etravel ph",0,0,0,0,
"euro towers",0,0,0,0,
eurobank,0,0,0,0,
euroflorist,0,0,0,0,
europcar,0,0,0,0,
europeanne,0,0,0,0,
euroslots,0,0,0,0,
eurowings,0,0,0,0,
events,0,0,0,0,
eventsvenue,0,0,0,0,
"ever new",0,0,0,0,
everest,0,0,0,0,
evernote,0,0,0,0,
everphotosh,0,0,0,0,
everworks,0,0,0,0,
"evm awards",0,0,0,0,
evmsms,0,0,0,0,
evolution,0,0,0,0,
evolve,0,0,0,0,
evsiprtg,0,0,0,0,
ewallet,0,0,0,0,
ewb,0,0,0,0,
ewb-cib,0,0,0,0,
ewbautoloan,0,0,0,0,
ewbhomeloan,0,0,0,0,
ewbrb,0,0,0,0,
ewoente,0,0,0,0,
ewrb,0,0,0,0,
ewriters,0,0,0,0,
ewu,0,0,0,0,
exakt,0,0,0,0,
example,0,0,0,0,
exbet,0,0,0,0,
excard,0,0,0,0,
excard-ph,0,0,0,0,
excardph,0,0,0,0,
"excel feeds",0,0,0,0,
exchangex,0,0,0,0,
"excl his",0,0,0,0,
exclusif,0,0,0,0,
exl,0,0,0,0,
exlcmt,0,0,0,0,
exlink,0,0,0,0,
exlinkevent,0,0,0,0,
exlivr,0,0,0,0,
exlpwd,0,0,0,0,
exlsms,0,0,0,0,
exlstm,0,0,0,0,
exotica,0,0,0,0,
expedia,0,0,0,0,
expediafr,0,0,0,0,
expediaph,0,0,0,0,
exphoopsph,0,0,0,0,
expobank,0,0,0,0,
exponencia,0,0,0,0,
express,0,0,0,0,
"express it",0,0,0,0,
expressflwr,0,0,0,0,
expresspay,0,0,0,0,
exprosearch,0,0,0,0,
exsite,0,0,0,0,
extra,0,0,0,0,
"eye in sky",0,0,0,0,
eyebrowdery,0,0,0,0,
eyecon,0,0,0,0,
eyecorephil,0,0,0,0,
eyenation,0,0,0,0,
eyesganda,0,0,0,0,
eyesociety,0,0,0,0,
"ez bugatti",0,0,0,0,
ezbuy,0,0,0,0,
ezential,0,0,0,0,
ezplor,0,0,0,0,
ezra,0,0,0,0,
ezviz,0,0,0,0,
ezycourier,0,0,0,0,
"f club",0,0,0,0,
f&n,0,0,0,0,
f-club,0,0,0,0,
f45playoffs,0,0,0,0,
fabulosa,0,0,0,0,
facebook,0,0,0,0,
facebook@,0,0,0,0,
facebookph,0,0,0,0,
facetime,0,0,0,0,
facetook,0,0,0,0,
facialcare,0,0,0,0,
factst,0,0,0,0,
fairffm,0,0,0,0,
"faith acad",0,0,0,0,
"faith e.n.s",0,0,0,0,
"fake padala",0,0,0,0,
falconeri,0,0,0,0,
famecity,0,0,0,0,
fameux,0,0,0,0,
famhealth,0,0,0,0,
family,0,0,0,0,
familydoc,0,0,0,0,
familymart,0,0,0,0,
fan-id,0,0,0,0,
fanid,0,0,0,0,
fantasy,0,0,0,0,
fanytel,0,0,0,0,
fanzone,0,0,0,0,
faph2016,0,0,0,0,
faphil2015,0,0,0,0,
faphl2015,0,0,0,0,
faphl2016,0,0,0,0,
faphl2017,0,0,0,0,
fareye,0,0,0,0,
farmerlink,0,0,0,0,
farmersorch,0,0,0,0,
farminoo,0,0,0,0,
fastcargo,0,0,0,0,
fastexmover,0,0,0,0,
fastlane_ph,0,0,0,0,
fastlaneph,0,0,0,0,
fastnet.ph,0,0,0,0,
fastq,0,0,0,0,
fastrack,0,0,0,0,
fastrackph,0,0,0,0,
fasttrack,0,0,0,0,
fastwin,0,0,0,0,
"fat fook",0,0,0,0,
fatdaddys,0,0,0,0,
fatih,0,0,0,0,
"fatih e.n.s",0,0,0,0,
"fatih kuran",0,0,0,0,
fattoamano,0,0,0,0,
fave,0,0,0,0,
favorchurch,0,0,0,0,
"fax cable",0,0,0,0,
faxcable-sm,0,0,0,0,
fazwaz,0,0,0,0,
fb,0,0,0,0,
"fb shop",0,0,0,0,
fb.com,0,0,0,0,
fbc50,0,0,0,0,
fbcalert,0,0,0,0,
fbi,0,0,0,0,
fbs,0,0,0,0,
fc2,0,0,0,0,
fcb_bohol,0,0,0,0,
fcchat,0,0,0,0,
fcmb,0,0,0,0,
fdas,0,0,0,0,
feast,0,0,0,0,
"feast lift",0,0,0,0,
fedbank,0,0,0,0,
fedbnk,0,0,0,0,
federalland,0,0,0,0,
fedex,0,0,0,0,
"fedex ph",0,0,0,0,
feiyie7,0,0,0,0,
felix,0,0,0,0,
feosystem,0,0,0,0,
ferdie,0,0,0,0,
fern,0,0,0,0,
fern_inc,0,0,0,0,
ferrer2010,0,0,0,0,
ferrer_2013,0,0,0,0,
fetamediter,0,0,0,0,
fetch,0,0,0,0,
fetchvalet,0,0,0,0,
"feu fern",0,0,0,0,
"fgbmfi ph",0,0,0,0,
fgdavao,0,0,0,0,
fgh,0,0,0,0,
fialrt,0,0,0,0,
fiatmission,0,0,0,0,
fiberair,0,0,0,0,
ficc,0,0,0,0,
ficco,0,0,0,0,
ficelco,0,0,0,0,
fico,0,0,0,0,
fidelitysms,0,0,0,0,
fiesta,0,0,0,0,
fifaeuro,0,0,0,0,
figaro,0,0,0,0,
"figaro co",0,0,0,0,
"figaro co.",0,0,0,0,
fiins,0,0,0,0,
fil-mus,0,0,0,0,
filglobal,0,0,0,0,
filinvest,0,0,0,0,
filkorja,0,0,0,0,
filnovate,0,0,0,0,
filomena,0,0,0,0,
filpet,0,0,0,0,
finance,0,0,0,0,
finderskeep,0,0,0,0,
findmate,0,0,0,0,
findmyphone,0,0,0,0,
findr,0,0,0,0,
fineco,0,0,0,0,
finishersph,0,0,0,0,
finnair,0,0,0,0,
finwaze,0,0,0,0,
fiqs123,0,0,0,0,
firechat,0,0,0,0,
firefly,0,0,0,0,
fireproof,0,0,0,0,
fireside,0,0,0,0,
firestopper,0,0,0,0,
"first lasr",0,0,0,0,
firstbank,0,0,0,0,
firstcircle,0,0,0,0,
firstdata,0,0,0,0,
firstmetro,0,0,0,0,
firstmobile,0,0,0,0,
fish,0,0,0,0,
fish&co,0,0,0,0,
fisher_mall,0,0,0,0,
fishtext,0,0,0,0,
fitaccess,0,0,0,0,
fitflop,0,0,0,0,
fitness,0,0,0,0,
fitness1st,0,0,0,0,
fitness_1st,0,0,0,0,
fitnessanda,0,0,0,0,
fivestarbus,0,0,0,0,
fjkzya,0,0,0,0,
flamingo,0,0,0,0,
flashgap,0,0,0,0,
flatuse,0,0,0,0,
flavourest,0,0,0,0,
fleekmoa,0,0,0,0,
flexiroam,0,0,0,0,
flexoffers,0,0,0,0,
flight001,0,0,0,0,
flightinfo,0,0,0,0,
flings123,0,0,0,0,
flipsph,0,0,0,0,
flirtwaxing,0,0,0,0,
flixbus,0,0,0,0,
florabel,0,0,0,0,
florella_sh,0,0,0,0,
florid,0,0,0,0,
flossy,0,0,0,0,
flowerdrum,0,0,0,0,
flpkrt,0,35,7,0,
flsmidth,0,0,0,0,
flsnoc,0,0,0,0,
flydubai,0,0,0,0,
flyhigh,0,0,0,0,
flymas.mobi,0,0,0,0,
flyscoot,0,0,0,0,
flyspaces,0,0,0,0,
flytpack,0,0,0,0,
flytpact,0,0,0,0,
fm,0,0,0,0,
"fm alerts",0,0,0,0,
fmi,0,0,0,0,
"fmi club",0,0,0,0,
fns,0,0,0,0,
fogcity,0,0,0,0,
fogwarenews,0,0,0,0,
folded&hung,0,0,0,0,
follicles,0,0,0,0,
"food panda",0,0,0,0,
foodfashion,0,0,0,0,
foodora,0,0,0,0,
foodorder,0,0,0,0,
foodpanda,0,0,0,0,
foodpatrol,0,0,0,0,
"foosball ph",0,0,0,0,
footballph,0,0,0,0,
footpanda,0,0,0,0,
footzone,0,0,0,0,
"for him",0,0,0,0,
ford,0,0,0,0,
fordmotorco,0,0,0,0,
fordph,0,0,0,0,
fordvt,0,0,0,0,
foremarke,0,0,0,0,
forest,0,0,0,0,
forestlodge,0,0,0,0,
"forever 21",0,0,0,0,
forever21,0,0,0,0,
foreverph,0,0,0,0,
